City_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Vangaindrano,MG,-23.35,47.6,70.43,91,37,6.26,scattered clouds
226,Noumea,NC,-22.2763,166.4572,77.0,99,99,6.08,overcast clouds
227,Kizilskoye,RU,52.7255,58.8937,31.62,49,66,8.21,broken clouds
228,Pergamino,AR,-33.89,-60.5736,87.33,19,3,5.44,clear sky
229,Biak,ID,-0.9131,122.8766,76.8,82,77,0.76,broken clouds
230,Provideniya,RU,64.3833,-173.3,19.51,68,90,4.47,light snow
231,Airai,TL,-8.9266,125.4092,64.42,69,81,1.48,broken clouds
232,Georgetown,MY,5.4112,100.3354,78.73,93,40,0.0,scattered clouds
233,Marsa Matruh,EG,31.3525,27.2453,71.8,73,20,10.36,few clouds
234,Lakselv,NO,70.0513,24.9718,33.62,64,75,6.91,light rain
235,Ambilobe,MG,-13.2,49.05,71.62,75,1,4.03,clear sky
236,Belsand,IN,26.45,85.4,68.77,70,0,3.87,clear sky
237,The Pas,CA,53.8251,-101.2541,42.82,87,90,8.05,overcast clouds
238,Lavrentiya,RU,65.5833,-171.0,13.39,76,48,6.44,scattered clouds
239,Bontang,ID,0.1333,117.5,77.36,89,63,5.91,broken clouds
240,Zemio,CF,5.0314,25.1361,69.69,98,100,3.06,light rain
241,Mandalgovi,MN,45.7625,106.2708,35.65,41,0,8.19,clear sky
242,Garowe,SO,8.4054,48.4845,74.59,74,21,12.17,few clouds
243,Hualmay,PE,-11.0964,-77.6139,65.52,77,56,11.03,broken clouds
244,Kosino,RU,58.4127,51.2782,33.62,98,100,8.7,overcast clouds
245,Alta Floresta,BR,-9.8756,-56.0861,78.37,73,41,2.77,heavy intensity rain
246,Tyrma,RU,50.0833,132.1667,31.82,94,47,2.59,scattered clouds
247,San Jose,US,37.3394,-121.895,68.47,55,75,1.01,broken clouds
248,Sibut,CF,5.718,19.0739,71.35,94,82,1.3,light rain
249,Samarai,PG,-10.6167,150.6667,81.79,80,59,8.84,broken clouds
250,Cabo San Lucas,MX,22.8909,-109.9124,89.62,63,1,14.65,clear sky
251,Puerto Escondido,MX,15.85,-97.0667,84.24,77,56,7.96,broken clouds
252,Muroto,JP,33.2833,134.15,53.64,67,90,4.63,overcast clouds
253,Kavaratti,IN,10.5669,72.642,81.64,74,78,14.63,broken clouds
254,Weyburn,CA,49.6668,-103.8511,45.18,93,100,5.75,overcast clouds
255,Victoria,HK,22.2855,114.1577,78.33,82,98,1.99,light rain
256,Burnie,AU,-41.0667,145.9167,56.95,68,20,7.31,few clouds
257,Maracacume,BR,-2.0428,-45.9592,79.7,74,18,4.14,few clouds
258,Itoman,JP,26.1247,127.6694,70.57,75,20,1.14,few clouds
259,Vestmanna,FO,62.1564,-7.1664,50.92,87,90,20.71,overcast clouds
260,Maceio,BR,-9.6658,-35.7353,78.24,88,40,4.61,scattered clouds
261,Nagato,JP,34.3833,131.2,58.91,61,100,3.76,overcast clouds
262,Tuatapere,NZ,-46.1333,167.6833,57.74,88,85,2.15,overcast clouds
263,Bandiagara,ML,14.3501,-3.6104,84.63,21,75,6.69,broken clouds
264,Fortuna,US,40.5982,-124.1573,60.1,70,75,5.01,broken clouds
265,Kirakira,SB,-10.4544,161.9205,85.1,70,47,4.54,scattered clouds
266,Pervomayskiy,RU,53.2485,40.2871,34.12,56,100,12.66,overcast clouds
267,Martapura,ID,-3.4167,114.85,77.09,94,90,4.61,overcast clouds
268,Olinda,BR,-8.0089,-34.8553,80.33,65,40,11.5,scattered clouds
269,Talnakh,RU,69.4865,88.3972,8.94,96,100,3.62,overcast clouds
270,Port Shepstone,ZA,-30.7414,30.455,67.1,88,100,13.22,light rain
271,Dalvik,IS,65.9702,-18.5286,40.93,93,100,11.81,overcast clouds
272,Liman,UA,48.9884,37.8023,34.95,43,10,5.23,clear sky
273,Port Hedland,AU,-20.3167,118.5667,64.45,88,0,8.05,clear sky
274,Acapulco,MX,16.8634,-99.8901,84.02,74,75,8.05,broken clouds
275,Burriana,ES,39.889,-0.085,63.66,86,1,4.29,clear sky
276,Sabha,LY,27.0377,14.4283,71.64,22,60,6.93,broken clouds
277,Mayumba,GA,-3.432,10.6554,76.6,90,100,7.36,overcast clouds
278,Dondo,MZ,-19.6094,34.7431,74.71,89,4,4.76,clear sky
279,Padang,ID,-0.9492,100.3543,73.45,91,100,5.41,light rain
280,Plettenberg Bay,ZA,-34.0527,23.3716,62.85,90,59,12.1,broken clouds
281,Rio Gallegos,AR,-51.6226,-69.2181,59.05,26,40,36.82,scattered clouds
282,Umm Lajj,SA,25.0213,37.2685,79.16,59,0,4.88,clear sky
283,Mahebourg,MU,-20.4081,57.7,73.26,76,14,12.77,few clouds
284,Tall Kayf,TR,37.0833,41.0667,65.59,30,0,11.5,clear sky
285,Sur,OM,22.5667,59.5289,78.51,78,0,11.5,clear sky
286,Ambulu,ID,-8.345,113.6058,75.99,93,97,2.35,overcast clouds
287,Karratha,AU,-20.7377,116.8463,70.79,31,0,9.33,clear sky
288,Labytnangi,RU,66.6572,66.4183,17.65,83,99,9.8,overcast clouds
289,Chapais,CA,49.7834,-74.8492,44.38,66,100,6.69,overcast clouds
290,Giyani,ZA,-23.3025,30.7187,64.6,84,50,6.89,scattered clouds
291,Faanui,PF,-16.4833,-151.75,78.67,77,82,7.0,broken clouds
292,Omboue,GA,-1.5746,9.2618,76.24,89,91,7.31,overcast clouds
293,Solnechnyy,RU,50.7214,136.6319,37.22,91,100,2.37,light rain
294,Bartlett,US,35.2045,-89.874,70.05,52,1,1.01,clear sky
295,Tuy Hoa,VN,13.0833,109.3,77.95,95,100,25.3,heavy intensity rain
296,Kahului,US,20.8947,-156.47,87.06,64,20,13.8,few clouds
297,Kruisfontein,ZA,-34.0033,24.7314,64.89,82,97,19.1,overcast clouds
298,Along,IN,28.1667,94.7667,58.64,95,13,2.13,few clouds
299,Nueva Gerona,CU,21.8833,-82.8,83.37,73,92,2.73,overcast clouds
300,Flinders,AU,-34.5833,150.8552,69.06,73,67,4.0,broken clouds
301,Wau,SS,7.7029,27.9953,73.26,86,99,3.87,overcast clouds
302,Port Blair,IN,11.6667,92.75,77.04,88,75,2.3,mist
303,Hongjiang,CN,27.11,109.9956,57.96,92,97,2.77,overcast clouds
304,Kerema,PG,-7.9631,145.7785,80.04,86,100,3.49,overcast clouds
305,Fairbanks,US,64.8378,-147.7164,31.96,91,90,0.0,mist
306,Piranhas,BR,-16.4269,-51.8222,75.81,80,81,7.49,broken clouds
307,Busko-Zdroj,PL,50.4708,20.7188,46.0,64,100,6.91,overcast clouds
308,Jerantut,MY,3.936,102.3626,73.15,99,61,1.41,broken clouds
309,Marabba,SD,12.35,32.1833,87.46,23,76,1.03,broken clouds
310,Lazarev,RU,52.225,141.5131,40.95,79,18,8.5,few clouds
311,Bonavista,CA,48.6499,-53.1147,40.12,71,83,11.95,broken clouds
312,San Cristobal,VE,7.7669,-72.225,78.98,80,76,4.54,broken clouds
313,Laela,TZ,-8.5667,32.05,72.03,38,60,5.44,broken clouds
314,Laguna,US,38.421,-121.4238,67.93,60,90,1.99,overcast clouds
315,Torbay,CA,47.6666,-52.7314,41.29,90,90,6.91,light intensity shower rain
316,Ostersund,SE,63.1792,14.6357,37.85,93,21,6.91,few clouds
317,Viisoara,RO,46.55,23.9167,35.2,56,0,1.9,clear sky
318,Ibipeba,BR,-11.6408,-42.0111,74.79,64,3,7.45,clear sky
319,Honningsvag,NO,70.9821,25.9704,36.09,60,89,28.68,overcast clouds
320,Khalkhal,IR,37.6189,48.5258,32.38,93,100,4.27,overcast clouds
321,Krasnogorsk,RU,55.8225,37.3181,40.37,60,0,13.42,clear sky
322,Mandali,IQ,33.7499,45.5541,72.19,24,0,6.67,clear sky
323,Maneadero,MX,31.7167,-116.5667,66.09,75,0,5.01,clear sky
324,Novikovo,RU,51.1537,37.8879,34.54,50,53,8.01,broken clouds
325,Cockburn Town,TC,21.4612,-71.1419,82.24,71,94,4.54,overcast clouds
326,Azare,NG,11.6765,10.1948,83.32,29,82,6.2,broken clouds
327,Saint Pete Beach,US,27.7253,-82.7412,84.25,70,1,1.01,clear sky
328,Mackay,AU,-21.15,149.2,80.04,83,12,0.0,few clouds
329,Nouadhibou,MR,20.931,-17.0347,67.98,88,91,13.8,overcast clouds
330,Brownsville,US,25.9018,-97.4975,89.71,72,40,10.0,scattered clouds
331,Saint George,US,37.1041,-113.5841,64.63,30,1,5.01,clear sky
332,Vestmannaeyjar,IS,63.4427,-20.2734,45.61,89,100,32.21,overcast clouds
333,Mendoza,AR,-32.8908,-68.8272,90.93,24,20,2.3,few clouds
334,Ancud,CL,-41.8697,-73.8203,56.73,88,93,8.99,overcast clouds
335,Floro,NO,61.5996,5.0328,49.96,81,90,19.57,light rain
336,Salalah,OM,17.0151,54.0924,75.29,46,0,4.61,clear sky
