City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
274,Laterza,IT,2021-10-20 21:31:38,40.6295,16.7997,57.25,87,20,1.14
275,Sao Joao Da Barra,BR,2021-10-20 21:31:38,-21.6403,-41.0511,64.49,92,100,10.8
276,Illapel,CL,2021-10-20 21:31:39,-31.6308,-71.1653,64.81,59,0,6.26
277,Strezhevoy,RU,2021-10-20 21:31:39,60.7333,77.5889,35.58,84,100,5.73
278,Mama,RU,2021-10-20 21:31:40,58.3106,112.8986,35.71,99,100,5.08
279,Ostrogozhsk,RU,2021-10-20 21:31:40,50.8664,39.0756,43.45,35,99,15.99
280,Oranjemund,NA,2021-10-20 21:31:41,-28.55,16.4333,59.97,77,69,5.21
281,Kupang,ID,2021-10-20 21:31:41,-10.1667,123.5833,73.98,100,20,2.3
282,Gusau,NG,2021-10-20 21:31:42,12.1628,6.6614,81.55,52,26,6.73
283,Anadyr,RU,2021-10-20 21:31:42,64.75,177.4833,21.7,93,75,13.42
284,Kenai,US,2021-10-20 21:31:43,60.5544,-151.2583,43.03,89,90,12.66
285,Nurota,UZ,2021-10-20 21:31:43,40.5614,65.6886,50.09,69,75,2.42
286,Nakhon Phanom,TH,2021-10-20 21:31:43,17.3333,104.4167,73.76,88,41,0.54
287,Kaeo,NZ,2021-10-20 21:31:44,-35.1,173.7833,60.33,96,100,9.66
288,Lao Cai,VN,2021-10-20 21:31:44,22.4833,103.95,73.76,98,93,0.65
289,Livingstone,ZM,2021-10-20 21:31:45,-17.8419,25.8543,70.72,52,70,4.59
290,Tura,IN,2021-10-20 21:31:45,25.5198,90.2201,71.02,99,93,3.49
291,Athabasca,CA,2021-10-20 21:31:46,54.7169,-113.2854,54.43,30,24,16.4
